episode_id,Agent1_DQN_score,Agent1_DQN_points_won,Agent2_Baseline_score,Agent2_Baseline_points_won,Agent3_Baseline_score,Agent3_Baseline_points_won,Agent4_Baseline_score,Agent4_Baseline_points_won,Agent1_DQN_epsilon_start_episode,Agent1_DQN_epsilon_end_episode,Agent1_DQN_total_steps_end_episode
0,-1,0,-1,0,1,1,-1,0,1.0,0.9190591853394026,5635
1,-1,0,1,1,-1,0,-1,0,0.9190591853394026,0.8691190524708031,9365
2,-1,0,-1,0,-1,0,1,1,0.8691190524708031,0.7936555196330239,15429
3,-1,0,-1,0,-1,0,1,1,0.7936555196330239,0.7187228344306543,22050
4,1,1,-1,0,-1,0,-1,0,0.7187228344306543,0.6599060167559637,27750
5,-1,0,-1,0,-1,0,1,1,0.6599060167559637,0.6092424041903779,33083
6,-1,0,1,1,-1,0,-1,0,0.6092424041903779,0.592281156269704,34968
7,-1,0,-1,0,-1,0,1,1,0.592281156269704,0.5235498089966325,43203
8,-1,0,-1,0,1,1,-1,0,0.5235498089966325,0.4947822083266558,46976
9,-1,0,-1,0,-1,0,1,1,0.4947822083266558,0.4660220704201806,50974
10,-1,0,-1,0,-1,0,1,1,0.4660220704201806,0.4360895304069964,55406
11,-1,0,-1,0,-1,0,1,1,0.4360895304069964,0.3957630995960968,61884
12,-1,0,-1,0,-1,0,1,1,0.3957630995960968,0.36517088010249255,67255
13,1,1,-1,0,-1,0,-1,0,0.36517088010249255,0.31761475244277815,76570
14,1,1,-1,0,-1,0,-1,0,0.31761475244277815,0.28974609506131893,82701
15,1,1,-1,0,-1,0,-1,0,0.28974609506131893,0.26300760237370213,89165
16,-1,0,1,1,-1,0,-1,0,0.26300760237370213,0.23847927455787665,95701
17,-1,0,-1,0,1,1,-1,0,0.23847927455787665,0.21685476036572668,102047
18,1,1,-1,0,-1,0,-1,0,0.21685476036572668,0.2038370734019203,106180
19,-1,0,-1,0,-1,0,1,1,0.2038370734019203,0.1847163375467417,112756
20,-1,0,-1,0,-1,0,1,1,0.1847163375467417,0.1738933801812754,116787
21,-1,0,-1,0,-1,0,1,1,0.1738933801812754,0.1600650666510468,122319
22,-1,0,-1,0,1,1,-1,0,0.1600650666510468,0.15382675965112433,124973
23,1,1,-1,0,-1,0,-1,0,0.15382675965112433,0.14244081561300156,130107
24,-1,0,-1,0,-1,0,1,1,0.14244081561300156,0.12786887557066226,137312
25,-1,0,-1,0,-1,0,1,1,0.12786887557066226,0.11813677978866674,142597
26,1,1,-1,0,-1,0,-1,0,0.11813677978866674,0.10743900882952298,148934
27,-1,0,-1,0,-1,0,1,1,0.10743900882952298,0.09883603111710683,154506
28,-1,0,-1,0,-1,0,1,1,0.09883603111710683,0.09332415533707418,158337
29,-1,0,-1,0,-1,0,1,1,0.09332415533707418,0.08850990152510362,161873
30,-1,0,-1,0,-1,0,1,1,0.08850990152510362,0.08050220072710661,168204
31,1,1,-1,0,-1,0,-1,0,0.08050220072710661,0.0736280950548898,174163
32,1,1,-1,0,-1,0,-1,0,0.0736280950548898,0.06810684522971498,179367
33,-1,0,1,1,-1,0,-1,0,0.06810684522971498,0.06602555995313496,181439
34,-1,0,-1,0,-1,0,1,1,0.06602555995313496,0.059721965650421156,188138
35,-1,0,-1,0,-1,0,1,1,0.059721965650421156,0.05452664820726867,194214
36,-1,0,-1,0,-1,0,1,1,0.05452664820726867,0.05,201042
37,-1,0,-1,0,1,1,-1,0,0.05,0.05,207642
38,-1,0,1,1,-1,0,-1,0,0.05,0.05,214832
39,1,1,-1,0,-1,0,-1,0,0.05,0.05,219838
40,-1,0,-1,0,-1,0,1,1,0.05,0.05,228151
41,-1,0,1,1,-1,0,-1,0,0.05,0.05,234507
42,-1,0,-1,0,-1,0,1,1,0.05,0.05,239045
43,-1,0,-1,0,1,1,-1,0,0.05,0.05,243674
44,1,1,-1,0,-1,0,-1,0,0.05,0.05,247796
45,-1,0,1,1,-1,0,-1,0,0.05,0.05,252958
46,-1,0,1,1,-1,0,-1,0,0.05,0.05,254846
47,1,1,-1,0,-1,0,-1,0,0.05,0.05,261045
48,-1,0,-1,0,-1,0,1,1,0.05,0.05,262800
49,-1,0,1,1,-1,0,-1,0,0.05,0.05,274284
